"customer_comment","shop_comment","image_comment","video_comment","star_rating"
"Dịch vụ chăm sóc khách hàng tốt, shop giao nhầm size, liên hệ shop đổi trả ko mất phí ship. Form quần shop này mua nhiều lần điều ok không có gì bàn cãi.Mỗi tội đóng gói ko đc kĩ lắm, hàng tới bung băng keo hết may hàng còn nguyên 😂","B Brown xin cám ơn bạn về đánh giá tích cực của sản phẩm ạ. Hi vọng bạn sẽ tiếp tục đồng hành với B Brown trong thời gian sắp tới nhé. iuiuuuuuuuuu !!!",1,1,5
"giao hàng nhanh, hôm sau đã nhận được hàng dù sale, quần đẹp, đứng form, vải dày dặn, mềm, bảng size chuẩn","B Brown xin cám ơn bạn về đánh giá tích cực của sản phẩm ạ. Hi vọng bạn sẽ tiếp tục đồng hành với B Brown trong thời gian sắp tới nhé. iuiuuuuuuuuu !!!",1,1,5
"B=Ly Soan OK A hoac OK B gui 9268 (0d)",,0,0,5
"Chất liệu:cũng dày dặnChưa mặc thử vs giặt thử nên chưa bt tnao , để p thử xem sao","B Brown xin cám ơn bạn về đánh giá tích cực của sản phẩm ạ. Hi vọng bạn sẽ tiếp tục đồng hành với B Brown trong thời gian sắp tới nhé. iuiuuuuuuuuu !!!",1,1,5
"vải nhẹ, đứng form, mặc vào chân dài như 1m8",,0,0,5
"Màu quần đẹp, form đẹp, đứng form, chắc chắn. Rất ưng 10đ","B Brown xin cám ơn bạn về đánh giá tích cực của sản phẩm ạ. Hi vọng bạn sẽ tiếp tục đồng hành với B Brown trong thời gian sắp tới nhé. iuiuuuuuuuuu !!!",1,1,5
" Vụ án ngoài cổng trường trung học trực thuộc chẳng khó điều tra, rất nhanh đã có kết quả, ấy thế mà giống những gì ông lão trong bệnh viện nói đến 70%.  Đến nhận xác đúng thật là người yêu đồng tính của cô gái, hung thủ là bạn cũ của cô gái, lý do liên quan đến tiền, vài chuyện nhỏ nhặt hàng ngày, và cả thứ tình tự rối rắm, vừa đơn giản vừa phức tạp, chỉ có trong lòng họ mới biết rõ chi tiết.  Góc sông ngoài cổng Đông có người thả một bó hoa bách hợp. Học sinh đi đường trông thấy, đến lớp bàn tán thở than, rồi sau đó chẳng còn sau đó nữa.",,0,0,5
"Từ lúc bản thân mình dùng những trang phục của shop mang lại, mình cảm thấy khá tự tin với vóc dáng của mình. 👏👏👏 rất hài lòng , cho shop 5 sao","B Brown xin cám ơn bạn về đánh giá tích cực của sản phẩm ạ. Hi vọng bạn sẽ tiếp tục đồng hành với B Brown trong thời gian sắp tới nhé. iuiuuuuuuuuu !!!",0,0,5
"😄Thời gian vận chuyển rất hợp lí. Tôi đã đặt hàng với tâm thế hào hứng chờ đợi để được trải nghiệm sản phẩm và tôi không hề bị chờ mỏi cổ. Có thể thấy bên vận chuyển không quản ngại thời tiết và đường xá xa xôi để đưa sản phẩm cho tôi trong thời gian ngắn nhất. cre: Harvey Dang",,1,1,5
"Ai eo 82, mặc size M","B Brown xin cám ơn bạn về đánh giá tích cực của sản phẩm ạ. Hi vọng bạn sẽ tiếp tục đồng hành với B Brown trong thời gian sắp tới nhé. iuiuuuuuuuuu !!!",0,0,5
"quần đẹp vãi mềm thoải mái ưng lắm. m72 65kg mặc M vừa in",,1,1,5
"Năng lượng cho cả ngày dài với thời lượng sử dụng pin lên đến 40 giờ","B Brown xin cám ơn bạn về đánh giá tích cực của sản phẩm ạ. Hi vọng bạn sẽ tiếp tục đồng hành với B Brown trong thời gian sắp tới nhé. iuiuuuuuuuuu !!!",0,0,5
" form quần đẹp, chất liệu dày dặn làm đứng form quần, tag da sau quần brand làm màu nâu thì mình thấy ok hơn đen",,1,1,5
" Giao hàng nhanh, quần form dáng rất đẹp, chuẩn, vải cũng ok. Nói chung là hàng chuẩn lắm ạ, mua cho người yêu là hết sẩy luôn. Ủng hộ shop nha.",,0,0,5
"Hình như trong lòng anh đã không còn hình bóng ai ngoài em đâu (Đâu)Hằng đêm anh nằm thao thức suy tư, chẳng nhớ ai ngoài em đâu (Đâu)Vậy nên không cần nói nữa, yêu mà đòi nói trong vài ba câu",,1,1,5
" Form quần cạp cao rất đẹp, màu rất ưng ý dễ phối đồ sẽ mua thêm màu đen của sốp","B Brown xin cám ơn bạn về đánh giá tích cực của sản phẩm ạ. Hi vọng bạn sẽ tiếp tục đồng hành với B Brown trong thời gian sắp tới nhé. iuiuuuuuuuuu !!!",0,0,5
"Quần chất lượng tốt , m68 60kg mặc size XS ( eo 76 ) , khuyên anh em chiều cao dưới 1m7 nên chọn size XS là chuẩn nhất nhé","B Brown xin cám ơn bạn về đánh giá tích cực của sản phẩm ạ. Hi vọng bạn sẽ tiếp tục đồng hành với B Brown trong thời gian sắp tới nhé. iuiuuuuuuuuu !!!",1,1,5
"Từ chất vải đến chiều dài, độ rộng của quần đều tốt. Mọi người nên mua nhé. Mình 1m8 65 kg mặc vừa size M","B Brown xin cám ơn bạn về đánh giá tích cực của sản phẩm ạ. Hi vọng bạn sẽ tiếp tục đồng hành với B Brown trong thời gian sắp tới nhé. iuiuuuuuuuuu !!!",0,0,5
